ride_id,user_id,started,finished
114,34,1,1
116,34,1,1
117,34,1,1
119,34,1,1
122,34,1,1
126,34,1,1
252,34,1,0.27
105,161,1,1
108,161,1,1
122,161,1,1
123,161,1,1
124,161,1,1
250,161,1,0.41
131,161,1,1.05
146,161,1,1
252,161,1,0.29
105,359,1,1
106,359,1,1
107,359,1,1
108,359,1,1
110,359,1,1
111,359,1,1
112,359,1,1
113,359,1,1
114,359,1,1
115,359,1,1
118,359,1,1
119,359,1,1
122,359,1,1
124,359,1,1
126,359,1,1
127,359,1,1
128,359,1,1
130,359,1,1
134,359,1,1
135,359,1,1
136,359,1,0.68
137,359,1,1
138,359,1,1.46
139,359,1,0.85
141,359,1,1
142,359,1,1
144,359,1,0.81
145,359,1,1
146,359,1,0.78
252,359,1,0.8
106,164,1,1
122,164,1,1.05
106,45,1,1
107,45,1,1
108,45,1,1
110,45,1,1
111,45,1,1
112,45,1,1
113,45,1,1
122,45,1,1
123,45,1,1
124,45,1,1
126,45,1,1
127,45,1,1
128,45,1,1
130,45,1,1
250,45,1,0.21
131,45,1,1.05
135,45,1,1
145,45,1,1
252,45,1,0.54
108,168,1,1
112,168,1,0.59
105,42,1,1
109,42,1,1
122,42,1,1
105,176,1,1
106,176,1,1
108,176,1,1
111,176,1,1
112,176,1,1
113,176,1,0.58
114,176,1,1
118,176,1,0.15
122,176,1,1
126,176,1,1
250,176,1,1
131,176,1,1.05
134,176,1,2.4
144,176,1,0.81
145,176,1,0.4
252,176,1,0.48
110,30,1,1
113,30,1,1.08
115,30,1,1
116,30,1,1
122,30,1,1
124,30,1,1
125,30,1,1
135,30,1,0.51
136,30,1,1
252,30,1,0.29
106,48,1,1
107,48,1,0.25
108,48,1,0.43
113,48,1,1
114,48,1,0.5
116,48,1,1
126,48,1,1
127,48,1,1
128,48,1,1
131,48,1,1.05
137,48,1,1
138,48,1,1
144,48,1,1
146,48,1,1
252,48,1,0.31
122,180,1,1
105,104,1,1
111,104,1,1
113,104,1,0.33
114,104,1,1
118,104,1,1
122,104,1,1
124,104,1,1
127,104,1,1
107,181,1,1
108,181,1,1
113,181,1,0.84
123,181,1,1
124,181,1,1
130,181,1,1
136,181,1,1
146,181,1,1
252,181,1,0.27
105,31,1,1
106,31,1,1
108,31,1,1
116,31,1,0.55
250,31,1,0.13
134,31,1,1
138,31,1,1
139,31,1,0.85
145,31,1,1
118,184,1,1
106,69,1,1
106,61,1,1
107,61,1,1
108,61,1,0.86
110,61,1,1
113,61,1,1
114,61,1,1
117,61,1,1
122,61,1,1
126,61,1,1
127,61,1,1
128,61,1,1
129,61,1,1
131,61,1,0.92
134,61,1,1
135,61,1,1
